id,name,lat,lng
1739,Wróblewskiego,52.421302,21.173265
1740,Lipowa,52.386187,21.153283
1741,Graniczna,52.329383,21.250198
1742,Stare Grabie-Szkoła,52.370842,21.316781
1743,PKP Wołomin,52.346473,21.238823
1744,Majdan,52.324235,21.285454
1745,Czarna,52.369839,21.225472
1746,Reja,52.349884,21.253944
1747,Lipinki,52.374847,21.286964
1748,Sasina-Liceum,52.347315,21.225823
1749,Piłsudskiego-Kościół,52.350193,21.232157
1750,Popularna,52.352090,21.237841
1751,Batorego,52.352700,21.246034
1754,Kościelna,52.343771,21.250204
1755,Lipińska,52.342216,21.243199
1756,Partyzantów-Szkoła,52.335896,21.242551
1757,Gryczana,52.333681,21.250722
1758,Turów II,52.312894,21.206897
1759,Ossów-Szkoła,52.309271,21.218812
1760,Ossów-Krzyż,52.309853,21.234300
1761,Krymska,52.310482,21.240825
1762,Leśniakowizna,52.318105,21.273539
1763,Cięciwa,52.317246,21.291391
1764,Mostówka,52.335391,21.298812
1765,Cmentarz,52.332567,21.273710
1766,Mieszka I,52.348052,21.258451
1767,Miejski Dom Kultury,52.348504,21.247165
1768,Lipowa,52.359406,21.222807
1769,Helenów,52.374400,21.230568
1770,Tramwajowa,52.375137,21.254257
1771,Zagościniec-Szkoła,52.372922,21.266393
1772,PKP Zagościniec,52.365774,21.281753
1775,Stare Grabie,52.363624,21.333079
1776,Nowe Grabie I,52.356594,21.303557
1777,Nowe Grabie II,52.352886,21.319600
1778,Przemysłowa,52.316512,21.162632
1779,Mostowa,52.360270,21.172533
1780,Nowe Lipiny,52.356216,21.268547
1781,Duczki-Szkoła,52.362602,21.291474
1782,Stare Lipiny,52.336073,21.270542
1783,Willowa,52.362378,21.282097
1784,Waryńskiego,52.355367,21.248573
1786,Stare Grabie II,52.367059,21.323395
1787,Leśniakowizna II,52.311628,21.258530
1788,ZUS,52.347585,21.257207
1789,Dębowa,52.385537,20.897929
1790,Nadzorcówka,52.392142,20.870945
1791,Golfowa,52.397691,20.842729
1792,Lipowa,52.401076,20.825458
1793,Puszczyka,52.402206,20.819765
1794,Nadwiślańska,52.403998,20.810706
1795,Sołecka,52.407308,20.794338
1796,Suchocin,52.410095,20.780489
1797,Dębowa,52.414712,20.757512
1798,os.Młodych,52.416874,20.746309
1799,Leśna,52.418466,20.738087
1800,PKP Legionowo,52.400774,20.941536
1801,PKP Michałów-Reginów,52.419199,20.963670
1802,Wrzosowa,52.424000,20.959714
1804,Piaskowa,52.428830,20.954998
1805,Kościelna,52.434950,20.958910
1806,Szpital Onkologiczny,52.439881,20.961983
1807,Podgórna,52.443341,20.964155
1808,Polna,52.450603,20.968796
1810,Modlińska,52.452316,20.955053
